Date,Close,returns,SMA_S,SMA_M,SMA_L,position
2017-08-28 07:00:00,4252.7,-0.0021609948982349077,4287.016666666666,4301.2944,4166.39585,0
2017-08-28 08:00:00,4227.0,-0.006061553755438882,4277.589333333333,4299.4403999999995,4167.1182,0
2017-08-28 09:00:00,4290.77,0.014973682428863492,4272.413333333333,4298.8618,4167.9486,0
2017-08-28 10:00:00,4308.0,0.004007555280625972,4269.946666666667,4299.525,4169.0154999999995,0
2017-08-28 11:00:00,4280.0,-0.006520749700436757,4263.946666666667,4299.269,4169.9505,0
2017-08-28 12:00:00,4347.0,0.015532942412949615,4266.069333333334,4300.4346000000005,4171.0984499999995,0
2017-08-28 13:00:00,4291.13,-0.012935850487875118,4264.810666666667,4301.3776,4171.9770499999995,0
2017-08-28 14:00:00,4273.59,-0.004095878095543275,4264.236666666667,4301.6116,4172.5656500000005,0
2017-08-28 15:00:00,4322.65,0.011414416689931905,4267.077333333334,4302.5846,4173.255249999999,0
2017-08-28 16:00:00,4324.67,0.0004671967816024547,4269.055333333334,4303.578,4174.1035999999995,0
2017-08-28 17:00:00,4312.7,-0.0027716788010696066,4273.9439999999995,4304.5126,4174.9550500000005,0
2017-08-28 18:00:00,4321.65,0.002073115684550367,4280.254,4305.8418,4176.03065,0
2017-08-28 19:00:00,4312.43,-0.0021357234365697716,4289.815333333333,4306.6504,4177.05045,0
2017-08-28 20:00:00,4331.47,0.00440542597523436,4297.177333333334,4307.4094,4178.39105,0
2017-08-28 21:00:00,4353.32,0.005031796071432361,4303.272,4307.8045999999995,4179.67605,0
2017-08-28 22:00:00,4386.69,0.007636183975502218,4312.2046666666665,4309.2588,4180.9845000000005,1
2017-08-28 23:00:00,4349.44,-0.008527855182584901,4320.367333333333,4310.2476,4182.0744,1
2017-08-29 00:00:00,4349.54,2.2991201268362915e-05,4324.285333333333,4310.4896,4183.1771,1
2017-08-29 01:00:00,4314.78,-0.008023754083188074,4324.7373333333335,4309.7052,4183.9782000000005,1
2017-08-29 02:00:00,4376.99,0.01431493523693681,4331.203333333334,4309.6586,4185.04015,1
2017-08-29 03:00:00,4363.16,-0.003164708052543734,4332.280666666667,4309.5598,4186.1513,1
2017-08-29 04:00:00,4356.76,-0.0014679036388395887,4336.656,4310.3967999999995,4187.1851,1
2017-08-29 05:00:00,4363.21,0.0014793631575170424,4342.630666666667,4311.101,4188.15125,1
2017-08-29 06:00:00,4329.02,-0.007866836548625421,4343.055333333333,4311.271,4189.3649,1
2017-08-29 07:00:00,4352.52,0.0054137992561685885,4344.912,4312.0234,4190.5861,1
2017-08-29 08:00:00,4367.4,0.003412878660169995,4348.558666666667,4313.0946,4191.950099999999,1
2017-08-29 09:00:00,4346.86,-0.004714121001266024,4350.239333333333,4313.989,4193.2847,1
2017-08-29 10:00:00,4368.5,0.004965955387148069,4353.977333333333,4314.9428,4194.7034,1
2017-08-29 11:00:00,4408.08,0.009019519750240037,4359.084666666667,4317.0498,4196.2204,1
2017-08-29 12:00:00,4580.0,0.03825977761984139,4374.196666666667,4322.1824,4199.0359,1
2017-08-29 13:00:00,4545.87,-0.007479869673043556,4384.808666666666,4327.1266,4201.85045,1
2017-08-29 14:00:00,4570.0,0.005294076453063383,4399.5126666666665,4332.2728,4204.4823,1
2017-08-29 15:00:00,4503.92,-0.014565076215812808,4409.804666666667,4336.107400000001,4206.8204000000005,1
2017-08-29 16:00:00,4555.55,0.01139814116484932,4425.856,4340.718400000001,4209.22815,1
2017-08-29 17:00:00,4536.63,-0.004161824184978599,4436.498666666666,4345.331,4211.470799999999,1
2017-08-29 18:00:00,4555.55,0.00416182418497874,4449.324666666666,4349.642,4214.133,1
2017-08-29 19:00:00,4577.54,0.004815466067519464,4464.043333333333,4353.8246,4217.020699999999,1
2017-08-29 20:00:00,4618.93,0.009001340615553782,4481.091333333333,4358.835,4220.3579,1
2017-08-29 21:00:00,4591.88,-0.005873550266596098,4498.615333333334,4363.7726,4223.371450000001,1
2017-08-29 22:00:00,4587.48,-0.0009586725734662668,4514.279333333334,4368.122200000001,4226.19885,1
2017-08-29 23:00:00,4575.23,-0.002673883010288603,4528.134666666666,4373.3236,4228.929749999999,1
2017-08-30 00:00:00,4597.55,0.00486658222513155,4544.847333333333,4379.0744,4231.8365,1
2017-08-30 01:00:00,4604.12,0.0014280018988849063,4560.555333333334,4385.5128,4235.2631,1
2017-08-30 02:00:00,4583.61,-0.0044646575528653675,4572.257333333333,4391.5842,4238.0459,1
2017-08-30 03:00:00,4579.61,-0.0008730555970663882,4572.231333333333,4397.2764,4240.81875,1
2017-08-30 04:00:00,4590.49,0.0023729305253502512,4575.206,4404.2988000000005,4243.5757,1
2017-08-30 05:00:00,4588.0,-0.0005425729201828869,4576.406,4411.5188,4246.3102,1
2017-08-30 06:00:00,4550.02,-0.008312570709530133,4579.479333333334,4419.138999999999,4248.980299999999,1
2017-08-30 07:00:00,4552.69,0.0005866385014071314,4579.288666666666,4425.772,4252.79375,1
2017-08-30 08:00:00,4482.0,-0.015648891680265897,4575.6466666666665,4430.174,4256.70375,1
2017-08-30 09:00:00,4477.1,-0.0010938599833873414,4570.416666666667,4434.662,4259.83935,1
2017-08-30 10:00:00,4498.35,0.004735147475600729,4565.137333333333,4440.089,4263.01915,1
2017-08-30 11:00:00,4570.0,0.015802542035164773,4561.8753333333325,4445.6736,4268.3651500000005,1
2017-08-30 12:00:00,4585.31,0.00334451029427726,4561.437333333333,4451.2198,4273.15675,1
2017-08-30 13:00:00,4558.16,-0.005938681877596418,4559.482666666667,4456.782999999999,4276.93255,1
