Date,EUR,US,CAN,CHI,HK,JAP,KOR
2009-01-01,243.4127916852,52.369999,7315.496080872428,298.3295972852741,1926.3385666538666,81.81711282962205,1.027506999938992
2009-01-08,223.227732213,48.66,6968.300611560806,299.08271295624564,1761.4538774894559,74.72580149726856,0.9894493357087817
2009-01-15,213.5634526296,48.490002,7024.041239375926,307.788637798537,1617.374232538307,69.9721369132655,0.923298032165704
2009-01-22,224.9059761018,50.419998,7142.981155632318,308.6633072941964,1616.7276913076882,71.78439243411324,0.9687848527587228
2009-01-29,225.3110556852,48.040001,6972.069494460952,326.81913070309736,1679.1020309603884,71.18798077822035,1.0000659463890476
2009-02-05,223.52866778700002,48.25,7008.000770939921,350.5537145253737,1740.1949615055582,70.36442913323184,0.9957239574821999
2009-02-12,212.2092969444,45.650002,6557.343496639179,342.6523698356733,1672.9467734233583,66.72043448900841,0.9313127788998359
2009-02-19,199.4315916852,44.330002,6361.8902323518805,342.14253237567647,1671.5432356025276,66.07204496435348,0.892736416786104
2009-02-26,194.00338221299998,41.34,6267.652480290347,340.8296668736402,1584.9230377398305,64.56432332717215,0.8861941229942967
2009-03-05,192.40618178699998,41.84,6425.009632042131,331.6686433705053,1533.4480188069163,65.31845006439022,0.9432931811324027
2009-03-12,197.637618213,46.080002,6920.739995465734,344.80191688885907,1685.9501457787205,70.59670595044224,0.9787991248472275
2009-03-19,206.9662761018,46.950001,7055.721164537037,355.3193395714056,1750.8501506296352,75.09365491072381,1.0282181036611897
2009-03-26,207.47551821300002,46.82,7171.532876659276,373.37749584239856,1737.6667859874735,73.95945535236726,1.0318489888458398
2009-04-02,212.9847526296,47.810001,7193.5885207587835,363.9761280979047,1860.4541273534187,76.11219818797552,1.0558682083664515
2009-04-09,220.5078526296,49.41,7415.588446716513,393.2306826964257,2014.0166268826752,77.42235546183167,1.1152847102118646
2009-04-16,222.660617787,49.23,7442.135891963827,381.6464550476662,1912.3275389724486,77.28367860984699,1.1344683656910721
2009-04-23,228.3318708426,50.889999,7552.092990303513,382.7079603548845,1922.4171457420962,75.21567601514461,1.1197439400082403
2009-04-30,240.7623526296,53.529999,8135.244690280229,401.9857819982852,2163.747701836356,79.49814975834583,1.1657828536950912
2009-05-07,232.3133291574,51.330002,7787.246413969926,413.03291613340656,2192.673232772535,82.71372147537568,1.1834104155237344
2009-05-14,245.07945,52.669998,8206.624774820455,411.11765667919724,2246.1700891121054,82.75046617134814,1.2011298896853473
2009-05-21,243.52853862959998,52.200001,8134.282104977478,408.2515812787096,2298.794096012105,83.58402337551186,1.1394880631098065
2009-05-28,242.98455831479998,54.610001,8252.900899076018,430.83691081284496,2387.6341982312074,86.26632569030451,1.1837199593481418
2009-06-04,246.2600026296,55.09,8499.844224239485,436.67600327126087,2414.521323341115,88.47858299029535,1.183711584819615
2009-06-11,236.83876778700002,53.330002,8073.247652592752,435.7264367662237,2324.413995430999,87.1446008986733,1.163875446481282
2009-06-18,238.80634431480001,52.709999,8101.158694853716,453.1200024024435,2299.6784931030215,84.92606526600001,1.140968889744042
2009-06-25,242.4290121018,54.110001,8320.913112426997,466.43168862531485,2362.2186414974735,88.02199403895334,1.181017704800098
2009-07-02,229.1999208426,51.139999,7742.333102349109,477.6924792283907,2277.6895668209754,83.4244533282326,1.1972145834252543
2009-07-09,241.98919431480002,54.27,8193.070265400873,494.40396499852636,2346.786001460805,82.0828611323642,1.1887145331812958
2009-07-16,249.5933030556,55.639999,8367.029459180514,511.15993106291194,2473.9677139915825,86.10241441893191,1.2499381545424055
2009-07-23,255.056232213,57.029999,8385.395325554016,506.479859559911,2588.016268920255,89.55672721370773,1.2752708163769761
2009-07-30,262.579332213,58.689999,8859.872851876793,531.6096445501045,2634.1931898387993,90.79019539380414,1.3046778980038019
2009-08-06,264.63950305559996,58.970001,8549.48978764008,482.6457536648089,2626.5418879534036,92.40603672532518,1.3095972056572431
2009-08-13,262.09322652779997,58.41,8571.063747700782,431.9215078347355,2564.7176920144148,90.36044070390207,1.2933752042831224
2009-08-20,273.6672265278,60.27,8751.840139763703,460.1434032789507,2629.2513109824877,94.2188240922831,1.3503989954048994
2009-08-27,266.8848613704,58.189999,8582.693087316888,420.9730249779487,2509.1631000899515,91.03752378623874,1.349595876445935
2009-09-03,277.8801613704,60.720001,8822.418200882128,456.8351380947162,2679.9845208182433,91.31805989743842,1.345086503218811
2009-09-10,283.3546761018,63.02,9267.861539364285,465.12302514085525,2750.9177800667194,90.9517112102479,1.4083011725019696
2009-09-17,283.262081787,62.25,9237.304760584851,440.78093672067405,2775.672612153317,91.83521837137414,1.4318435659450783
2009-09-24,280.6347791574,61.990002,9139.056891414317,430.96667934931145,2693.3787549001104,89.73374862142771,1.3997761024128434
2009-10-01,278.1232234722,61.990002,9102.88594868228,,2730.18202150447,86.77931589484776,1.3369127458563137
2009-10-08,285.8546473704,64.089996,9249.575562543829,460.59880445404855,2813.069828073671,89.08712325066107,1.3796554409318866
2009-10-15,288.4125083148,63.299999,9176.75199223893,476.11326256248316,2868.5471010921833,91.50623702062128,1.3836461162754892
2009-10-22,274.69731137040003,60.75,8666.103523184118,470.0257626406409,2797.0163780027765,89.21853591665648,1.3467094893571774
2009-10-29,276.769067787,61.02,8879.361863829949,485.09844729068635,2778.146815087275,87.17524021666412,1.3217951356408346
2009-11-05,284.9518765278,64.150002,9174.987384316402,492.33255174870044,2908.275931952737,87.41761339626014,1.3342522610471075
2009-11-12,288.9449030556,64.790001,9345.738483606818,512.1862307504689,2935.668139821342,85.69187524335885,1.3419073205260836
