Date,Can,US,Chi,Eur,Jap,HK,Kor
2009-03-31,0.0443065167645366,0.0038242391090232,0.0130101630283581,-0.0374271887446945,0.0560248159418492,-0.0021903819005827,0.0660498132007743
2009-04-30,0.1388066558814675,0.1079822536224919,0.1076929093689145,0.0810916354508598,0.1379009228954635,0.1748015652324058,0.1888329660407668
2009-05-31,0.2040062313695581,0.1511853131486038,0.1811340609517417,0.1445315565399575,0.2176385913548417,0.3222274750163353,0.2341273357410116
2009-06-30,0.2218119207389355,0.1710377677827907,0.2572963822620557,0.1438375196656954,0.2559909273175795,0.3512528465132959,0.2248898351760923
2009-07-31,0.2286037760690649,0.1991463943709004,0.3822860166042072,0.1706300402359947,0.2468036935820399,0.3991300387380126,0.2891894495847283
2009-08-31,0.2652406484667415,0.2643159884494774,0.2725477648540153,0.2479219139819978,0.3118166500363821,0.4471587973371148,0.355640927973501
2009-09-30,0.3237103523469242,0.3158787741587217,0.2715291206568979,0.3022093773052775,0.3005295377831297,0.5024542097750219,0.4089135955993815
2009-10-31,0.3093993967781817,0.3164688579017676,0.3042054371598592,0.2972080264484611,0.2731616074941264,0.5257514476488746,0.3753778283138109
2009-11-30,0.3401685041844126,0.3506764416353103,0.3883011046158917,0.314438308642553,0.2325604492700438,0.5601056462328812,0.3610326875196
2009-12-31,0.3442202743773767,0.3655374474008117,0.3758519822486303,0.3284086775995518,0.3075955295367326,0.5220359119658102,0.404765452360165
2010-01-31,0.3400263402399074,0.3724034916341578,0.3371180235174641,0.3390252866358816,0.3280042654443499,0.4908086790321192,0.4014045009549957
2010-02-28,0.3348059357592806,0.3513065603922131,0.3155216883097327,0.311969192680284,0.2889780067161528,0.4613640011015525,0.3665342169873291
2010-03-31,0.3733054670206513,0.4132237689132788,0.327872347555922,0.3699167598808689,0.3530172237145531,0.4988810910024117,0.4113717494079283
2010-04-30,0.3750892180012747,0.4370820704006756,0.3095668547417526,0.3734948168281048,0.3756574044803947,0.5026905314387602,0.4390434165287902
2010-05-31,0.3453555473119349,0.3679195532286459,0.1680472834480266,0.3016017529101589,0.2631180692738819,0.4147968101080542,0.3718409217977463
2010-06-30,0.3280752487763936,0.3293929186740332,0.1353839662695132,0.3129693053021032,0.2384413595572999,0.4406850756346826,0.411202193842229
2010-07-31,0.3266257725942347,0.3384217748937181,0.1379463314579384,0.3316017723086575,0.2183968412225939,0.4664155707229013,0.4424390066252455
2010-08-31,0.3327342918962133,0.3226899255967983,0.1648112846091592,0.3272279848128642,0.1663340927907473,0.4694711809960304,0.4399665004650654
2010-09-30,0.3706965696786506,0.3705610689707923,0.1680046612655806,0.3550345374667992,0.2061449327679916,0.5197960047646711,0.4853974650899146
2010-10-31,0.3972949063691531,0.4118008513580855,0.2874647987285624,0.3624400722817352,0.1859776104691662,0.5844625392565531,0.5104593593675635
2010-11-30,0.4164135011193826,0.4293127818393301,0.2636398315745336,0.3679169306745863,0.2458223702348144,0.5785500896810287,0.5249276620204193
2010-12-31,0.4443479735316504,0.4697878973942142,0.2382292071116207,0.4043361259406751,0.2831903921697715,0.5609901140341323,0.5716105595915293
2011-01-31,0.45619031660539,0.4975523104153105,0.2099316930050059,0.4201265459169089,0.2962249873689054,0.5976356107734414,0.60407308262758
2011-02-28,0.4838828738725349,0.5128580937825427,0.2374253734861351,0.4196248546455747,0.3025034805085346,0.5489994869946381,0.5414649136146397
2011-03-31,0.4754910450414548,0.5013587341967553,0.2654498318649465,0.3768565640573262,0.2083497437349962,0.5575705862309038,0.563647107740431
2011-04-30,0.4581381065103703,0.5161443775346896,0.2567779937643566,0.3850729867392084,0.2067314144794982,0.5675031036548787,0.6210712136656251
2011-05-31,0.4336755626701875,0.5046714730155251,0.1981367395682634,0.3770251773530708,0.1919380133015539,0.5330243422158935,0.5904767455908513
2011-06-30,0.3950923546680225,0.4718993316688067,0.1610756800604951,0.3350727490217936,0.1877034585775433,0.4870677852841873,0.5728331154550812
2011-07-31,0.3748650526444276,0.4558851912403916,0.1501972951202221,0.2963664869827147,0.1908668204686944,0.4617040099736427,0.5697678348604716
2011-08-31,0.3057983932561997,0.3359431202753647,0.06475480509001,0.1576449426268835,0.0728312988124173,0.3486491472467105,0.4127168692749553
2011-09-30,0.2659885926184837,0.3246820188545736,0.0191196867126617,0.1287468172261128,0.0350471949852186,0.2675718896741371,0.3734452101150156
2011-10-31,0.2686426699039588,0.3654395629413771,0.0071623683624864,0.1803267264823189,0.0455035037786442,0.286961297571135,0.4258783653977711
2011-11-30,0.2592384510578175,0.3583182043872065,0.0010030702863206,0.1540798857091501,0.0136633994766144,0.2736549119925269,0.4121392382156064
2011-12-31,0.2421834790939986,0.3764070209523172,-0.090623827223692,0.1779471524054132,0.0140093667673018,0.2657586681720915,0.4151942986897117
2012-01-31,0.2789815351885222,0.4213333036579455,-0.0695555975011256,0.2293202547907007,0.0222336043393702,0.3203842965451106,0.4336907247723618
2012-02-29,0.2847510794001872,0.4510794739485716,-0.0300892887385145,0.2607333980363282,0.0983175680447527,0.3938551350507545,0.4847777204254371
2012-03-31,0.2635954927348262,0.4702321399570409,-0.0533782210029279,0.2572386744323507,0.1522696898209199,0.3653058243401346,0.4794138547163518
2012-04-30,0.2399590629640268,0.4596568535316584,-0.0411464143638068,0.2227069962994643,0.1042848591956246,0.3516575709667903,0.4588352150432161
2012-05-31,0.1863814117745467,0.4124077657988283,-0.0545277290088319,0.1647031295195399,0.0157980512589522,0.2702003393796598,0.3839165447043925
