Date,Ytd Cumulative Returns %
2009-01-31,
2009-02-28,
2009-03-31,0.020427448764048783
2009-04-30,0.13281059238715587
2009-05-31,0.20686058484172465
2009-06-30,0.23338427999220523
2009-07-31,0.2795453676624229
2009-08-31,0.30490009952927455
2009-09-30,0.3412808480770344
2009-10-31,0.33940433286112837
2009-11-30,0.3634802469043549
2009-12-31,0.37396543507220825
2010-01-31,0.36583825407595383
2010-02-28,0.3405602876070086
2010-03-31,0.384119444742111
2010-04-30,0.3924709070812349
2010-05-31,0.308523626564564
2010-06-30,0.30368912651985347
2010-07-31,0.31409880666392775
2010-08-31,0.3102297890947482
2010-09-30,0.3461741579548968
2010-10-31,0.3866244732132348
2010-11-30,0.39630588921250365
2010-12-31,0.41560399926856306
2011-01-31,0.43167240282278285
2011-02-28,0.42426048561676377
2011-03-31,0.4138779340609332
2011-04-30,0.42393423409853803
2011-05-31,0.3968037470422019
2011-06-30,0.3648697286742124
2011-07-31,0.34890244387421054
2011-08-31,0.23368280122880913
2011-09-30,0.1927571512179166
2011-10-31,0.21680981817219658
2011-11-30,0.20236048784577898
2011-12-31,0.191869993714873
2012-01-31,0.22613698555082873
2012-02-29,0.26862770019348214
2012-03-31,0.26571182667024973
2012-04-30,0.2466242901808927
2012-05-31,0.1872144658306072
2012-06-30,0.18574398005904702
2012-07-31,0.17161241060991794
2012-08-31,0.1965753161516397
2012-09-30,0.2106198243102324
2012-10-31,0.20326527288738805
2012-11-30,0.19261130179836006
2012-12-31,0.22680621857702377
2013-01-31,0.2563625827941739
2013-02-28,0.269341946605553
2013-03-31,0.26776767601086493
2013-04-30,0.26362240762174705
2013-05-31,0.29708388365096705
2013-06-30,0.23378326625180967
2013-07-31,0.26173938285470466
2013-08-31,0.2594632994837287
2013-09-30,0.29488584170562504
2013-10-31,0.2932846878828961
2013-11-30,0.31077159410165534
2013-12-31,0.3108559790374761
2014-01-31,0.29512235339945847
2014-02-28,0.29529286953835543
2014-03-31,0.28724492452028616
2014-04-30,0.29028726978127883
2014-05-31,0.2908513395997332
2014-06-30,0.3100994686295522
2014-07-31,0.31637851657525196
2014-08-31,0.33265770109895665
2014-09-30,0.32872377058394076
2014-10-31,0.2949556865960723
2014-11-30,0.3435341697788348
2014-12-31,0.343363251413239
2015-01-31,0.35804745404674976
2015-02-28,0.3819047492187708
2015-03-31,0.40634851509492886
2015-04-30,0.46334961365819716
2015-05-31,0.47928716070087996
2015-06-30,0.46447796386692763
2015-07-31,0.4113024324682589
2015-08-31,0.34599078921425985
2015-09-30,0.3035266705490808
2015-10-31,0.3373942921190439
2015-11-30,0.3552327286169118
2015-12-31,0.31969128758147747
2016-01-31,0.21445704318608128
2016-02-29,0.20551908582600575
2016-03-31,0.24567751733288146
2016-04-30,0.2565951396441356
2016-05-31,0.2391214540892751
2016-06-30,0.23302057128545928
2016-07-31,0.25851053843513394
2016-08-31,0.2701992127379197
2016-09-30,0.2668476823916164
2016-10-31,0.25888906284632696
2016-11-30,0.26564704012018514
2016-12-31,0.2926028825410736
2017-01-31,0.29853421746292796
2017-02-28,0.31335692483040245
2017-03-31,0.3138090788987513
2017-04-30,0.3114010741035478
2017-05-31,0.327662748006176
2017-06-30,0.3371294317571727
2017-07-31,0.3444259123425433
2017-08-31,0.3357150966298581
2017-09-30,0.3542083392027364
2017-10-31,0.37947849183213944
2017-11-30,0.38966372874398325
2017-12-31,0.39441956648012444
2018-01-31,0.43088826149024273
2018-02-28,0.37511891852428014
2018-03-31,0.36547718496674075
2018-04-30,0.3687275220687355
2018-05-31,0.38027673028845943
2018-06-30,0.3560303264514386
2018-07-31,0.35148076097281644
2018-08-31,0.34504070295225964
2018-09-30,0.35045092508732656
2018-10-31,0.29248600294421423
2018-11-30,0.28490155917961446
2018-12-31,0.22671098810774704
2019-01-31,0.2625056568328906
2019-02-28,0.3122917551962573
2019-03-31,0.32511895911121347
2019-04-30,0.3489355332701357
2019-05-31,0.297286101740567
2019-06-30,0.30510268351306413
2019-07-31,0.3059241778341131
2019-08-31,0.2596474303639652
2019-09-30,0.2889210396053338
2019-10-31,0.29189015160739873
2019-11-30,0.30673641570653076
2019-12-31,0.32467968307384665
2020-01-31,0.33334275784932277
2020-02-29,0.31073240911520517
2020-03-31,0.08624582496393274
2020-04-30,0.09606954891675656
2020-05-31,0.09841050981565214
2020-06-30,0.1252993976655964
2020-07-31,0.1575024944728839
2020-08-31,0.18621931148474402
2020-09-30,0.1526049299481309
2020-10-31,0.1550365940381626
2020-11-30,0.21627304873962783
2020-12-31,0.24338925596415173
2021-01-31,0.2804889851744923
2021-02-28,0.28829311046667705
2021-03-31,0.26358388103131336
2021-04-30,0.27952501274851027
2021-05-31,0.26859276717645586
2021-06-30,0.2877638562274658
2021-07-31,0.27432797524063
2021-08-31,0.2669247867173834
2021-09-30,0.25521373302819605
2021-10-31,0.25213593834690395
2021-11-30,0.25213593834690395
2021-12-31,0.25213593834690395
