Date,EUR,US,CAN,CHI,HK,JAP,KOR
2009-01-01,,,,,,,
2009-01-08,0.917074779297939,0.9291579325789179,0.9525397231474948,1.002524441684046,0.9144051352038169,0.9133272846339542,0.9629611630553659
2009-01-15,0.877371526578589,0.9259118374243237,0.9601592512285587,1.03170667811487,0.8396105754907643,0.8552261806032826,0.8985807709538958
2009-01-22,0.9239694206073835,0.9627649219546481,0.976417877429915,1.0346385678891956,0.8392749433013813,0.8773762597025246,0.9428498811358405
2009-01-29,0.9256335878049885,0.9173191124177794,0.9530549148526752,1.0954968386545318,0.8716546821138826,0.8700866886670021,0.9732935604802946
2009-02-05,0.9183110971262526,0.9213290227483104,0.9579665812771733,1.1750550991766364,0.9033692164136816,0.8600209259371012,0.9690678093106135
2009-02-12,0.8718083198308051,0.8716823156708481,0.896363476126306,1.148569813232497,0.86845936762266,0.8154826317074849,0.9063809579449407
2009-02-19,0.8193143437717116,0.8464770449966973,0.8696457713901442,1.1468608394510278,0.8677307637078929,0.8075577673089434,0.8688373089809703
2009-02-26,0.7970139156199315,0.7893832497495369,0.8567638354257557,1.1424601178532279,0.8227645260162705,0.7891298176412368,0.8624701564533517
2009-03-05,0.7904522209162874,0.7989307007624727,0.8782739490273773,1.111752391947056,0.7960428376152908,0.7983470426341119,0.9180406373761056
2009-03-12,0.8119442566872165,0.8798931235419729,0.9460383710082422,1.1557750891177803,0.8752096723616393,0.8628599019065185,0.9525960649468502
2009-03-19,0.8502686924090028,0.8965056692095793,0.9644897743825442,1.1910294613901007,0.9089005333423488,0.9178233295411031,1.0006920670343264
2009-03-26,0.8523607850540706,0.894023312851314,0.9803207871863167,1.25156035217438,0.9020567910893648,0.9039607093736274,1.0042257511696808
2009-04-02,0.87499408373348,0.912927284951829,0.9833357083694715,1.2200469930238165,0.9657980998558875,0.9302723544703101,1.0276019612802083
2009-04-09,0.9059008407198976,0.9434791090983216,1.0136822390084783,1.3181081805986674,1.0455153947216602,0.9462855970371121,1.0854278465042904
2009-04-16,0.9147449328585892,0.9400420267336647,1.0173111720232504,1.279277880976461,0.9927266016867657,0.9445906355897011,1.1040979436231875
2009-04-23,0.9380438442113437,0.9717395450017098,1.0323418817829326,1.2828360438837878,0.9979643137610112,0.9193147180807463,1.0897676999521408
