Date,EUR,US,CAN,CHI,HK,JAP,KOR,All Indexs
2009-01-31,0.911012328572225,0.9337884510939173,0.9605429416646609,1.0410916315856609,0.8662363340274613,0.8790041034016909,0.9444213439063491,0.933728162035995
2009-02-28,0.8516119190871752,0.8572179082913481,0.8951849160548448,1.1532364674283473,0.8655809684401262,0.8180477856486916,0.901689058172469,0.9060812890175718
2009-03-31,0.8262564887666444,0.8673382015913347,0.9422807204011201,1.1775293236573292,0.8705524586021609,0.8707477458638402,0.9688886301317408,0.9319419384305956
2009-04-30,0.924559008364405,0.9580676104271072,1.0317454926589815,1.289544869633433,1.025049626446171,0.9424240105758461,1.0882939149426116,1.0370977904355079
2009-05-31,0.9899909834529119,1.0063490835659552,1.1065911947348819,1.3937932072774752,1.1842767120604014,1.0245855821471217,1.1454297459643947,1.1215737870290206
2009-06-30,0.990430823455193,1.027496687559608,1.12757779237912,1.5016563453405103,1.2200389661644813,1.0650927145272018,1.1361415606225287,1.1526335557212346
2009-07-31,1.017545523442019,1.0569791914641815,1.135881983806802,1.690308908230006,1.2791783287019916,1.0559078328431304,1.2098829469577912,1.2065263879208459
2009-08-31,1.0961675535748898,1.1258354234453964,1.1774692509408196,1.504781712991875,1.3405839152386576,1.1245288808776739,1.2902508893141507,1.2370882323404948
2009-09-30,1.1555798799922008,1.1837884654150932,1.2462121840101046,1.503124225376763,1.414594746819621,1.1117440029268533,1.3588733080189013,1.281988116079934
2009-10-31,1.1534782117205857,1.1882757416130554,1.2323068290155812,1.5572058404088,1.452181084455609,1.0847766120116233,1.317503224496493,1.2836753633888212
2009-11-30,1.1775236691315072,1.2332920132383423,1.2747388415109757,1.6941606976380326,1.5074087327865389,1.0444327291371087,1.303219362472905,1.3192537208450585
2009-12-31,1.1932575730422479,1.2508688419108043,1.2791356854210967,1.6720658292497326,1.4491518853706313,1.1221279990152921,1.3593964478749327,1.332286323126391
2010-01-31,1.2005729406644754,1.253866760623768,1.2681169354185031,1.6001654600938677,1.3976671187118441,1.1399465457388818,1.3488136417614822,1.3155927718589748
2010-02-28,1.174956043934725,1.234628637285251,1.2689118050812704,1.574810237029696,1.3644867105376748,1.1018976941453993,1.3094318611307862,1.289874712734972
2010-03-31,1.2426180459095435,1.3106263568956715,1.3173149942032838,1.593716583741429,1.4151955746298988,1.1720625829870588,1.3676770561666618,1.3456015992190782
2010-04-30,1.2515524735062762,1.3467252500806797,1.3244143199391294,1.570173712999934,1.4256994666075689,1.2029121290624076,1.4105815337733474,1.3617226979956207
2010-05-31,1.1690480972759079,1.2616478854620554,1.2933025281422585,1.3566361932490756,1.3087561352485,1.0744057276723042,1.3242527033984555,1.2554356100640796
2010-06-30,1.184953194664573,1.2157246508635595,1.2737658174420672,1.315227427980395,1.3456081024388862,1.0502113575900767,1.3794221624900664,1.2521303876385177
