Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,29.750000,31.629999,27.959999,29.059999,25.757126,2829542600
2009-02-01,28.780001,31.680000,27.389999,27.530001,24.401018,3324074200
2009-03-01,27.120001,31.459999,25.629999,30.320000,26.873919,3805123800
2009-04-01,29.940001,34.900002,29.790001,34.279999,30.434082,2991632100
2009-05-01,34.270000,35.500000,32.959999,35.380001,31.410683,2734076200
2009-06-01,35.759998,37.230000,34.770000,36.380001,32.298481,2511948000
2009-07-01,36.560001,40.180000,34.299999,39.450001,35.067120,2575607800
2009-08-01,39.869999,41.080002,38.459999,40.029999,35.582680,2248149500
2009-09-01,39.889999,43.169998,39.020000,42.250000,37.556046,2114774900
2009-10-01,42.099998,43.820000,40.720001,40.959999,36.444592,2291065900
2009-11-01,41.000000,44.650002,40.639999,43.560001,38.757977,1807922400
2009-12-01,43.889999,46.299999,43.320000,45.750000,40.706543,1524036700
2010-01-01,46.330002,46.639999,42.630001,42.790001,38.136395,2382152500
2010-02-01,42.900002,45.049999,42.119999,44.759998,39.892155,1932176400
2010-03-01,44.959999,48.599998,44.950001,48.160000,42.922375,1623606900
2010-04-01,48.360001,50.650002,47.790001,49.240002,43.931770,1701457500
2010-05-01,49.450001,50.169998,42.639999,45.599998,40.684162,2952228100
2010-06-01,45.430000,47.680000,42.639999,42.709999,38.105721,2058088600
2010-07-01,42.840000,46.720001,41.770000,45.810001,41.029518,1748673600
2010-08-01,46.389999,47.189999,42.970001,43.459999,38.924740,1483278100
2010-09-01,44.099998,49.840000,44.070000,49.070000,43.949318,1574743200
2010-10-01,49.480000,52.490002,48.200001,52.180000,46.844219,1538354800
2010-11-01,52.369999,54.040001,50.849998,52.090000,46.763428,1564994700
2010-12-01,52.860001,54.959999,52.840000,54.459999,48.891068,1006766900
2011-01-01,54.970001,57.349998,54.919998,56.000000,50.373264,1265608600
2011-02-01,56.419998,59.040001,56.130001,57.770000,51.965431,1101561900
2011-03-01,58.020000,58.369999,53.770000,57.430000,51.659595,1729243300
2011-04-01,57.720001,59.290001,55.320000,59.080002,53.218788,1032891200
2011-05-01,59.169998,59.340000,56.470001,58.360001,52.570217,1054622500
2011-06-01,58.220001,58.360001,53.619999,57.049999,51.390171,1155628500
2011-07-01,57.080002,59.830002,56.869999,58.000000,52.363087,1277418400
2011-08-01,58.700001,58.820000,49.930000,55.060001,49.708820,2526145600
2011-09-01,55.200001,57.349998,51.910000,52.490002,47.388607,1666877800
2011-10-01,52.020000,59.200001,50.099998,57.950001,52.414989,1616785100
2011-11-01,56.520000,58.980000,52.869999,56.389999,51.003983,1295070500
2011-12-01,56.380001,57.619999,54.169998,55.830002,50.497475,1004361600
2012-01-01,56.910000,60.860001,56.560001,60.529999,54.958073,828883900
2012-02-01,60.880001,64.959999,60.660000,64.410004,58.480919,1018602500
2012-03-01,64.650002,68.510002,63.230000,67.550003,61.331882,1070054300
2012-04-01,67.480003,68.550003,64.449997,66.760002,60.717480,1056184900
2012-05-01,66.690002,67.629997,60.759998,62.060001,56.442894,1300328800
2012-06-01,60.939999,64.570000,60.040001,64.160004,58.352814,973815200
2012-07-01,64.250000,65.309998,61.860001,64.800003,59.070351,860805100
2012-08-01,65.260002,68.879997,63.910000,68.160004,62.133244,679866200
2012-09-01,68.029999,70.580002,67.419998,68.570000,62.506977,639521900
2012-10-01,68.900002,69.800003,64.650002,64.949997,59.375927,863124200
2012-11-01,65.360001,66.209999,61.310001,65.800003,60.152973,901783900
2012-12-01,66.309998,66.760002,63.580002,65.129997,59.540474,815856000
2013-01-01,66.730003,67.790001,66.169998,66.870003,61.471607,741836700
2013-02-01,67.339996,68.260002,65.959999,67.099998,61.683060,656562100
2013-03-01,66.870003,69.059998,66.540001,68.970001,63.402084,557979300
2013-04-01,69.019997,70.730003,66.879997,70.720001,65.161270,835537700
2013-05-01,70.739998,74.949997,70.250000,73.250000,67.492409,680414200
2013-06-01,73.260002,73.820000,69.150002,71.269997,65.668037,748561600
2013-07-01,71.750000,76.209999,71.349998,75.769997,70.035202,581695700
2013-08-01,76.290001,77.279999,74.959999,75.470001,69.757904,529245500
2013-09-01,76.089996,79.690002,75.540001,78.879997,72.909805,503988800
2013-10-01,78.889999,83.489998,76.349998,82.790001,76.753670,817353700
2013-11-01,83.070000,85.839996,81.370003,85.730003,79.479301,542339400
2013-12-01,85.830002,87.959999,84.050003,87.959999,81.546707,651649200
2014-01-01,87.550003,89.000000,84.760002,86.269997,80.233978,831732700
2014-02-01,86.110001,90.959999,83.739998,90.339996,84.019234,713558700
2014-03-01,89.489998,91.360001,86.400002,87.669998,81.874512,809345400
2014-04-01,88.099998,89.680000,83.279999,87.389999,81.799606,1141398200
2014-05-01,87.529999,91.449997,85.529999,91.309998,85.468857,789193700
2014-06-01,91.419998,94.139999,90.639999,93.910004,87.902550,567012900
2014-07-01,94.239998,97.510002,93.629997,95.019997,89.180534,661530400
2014-08-01,94.820000,99.910004,93.889999,99.779999,93.648026,645904700
2014-09-01,100.019997,100.559998,97.699997,98.790001,92.718842,755958700
2014-10-01,98.510002,101.750000,90.239998,101.400002,95.394867,1285037500
2014-11-01,101.580002,106.250000,100.669998,106.010002,99.731827,434990100
2014-12-01,105.720001,105.919998,99.919998,103.250000,97.135315,815702200
2015-01-01,103.760002,104.580002,99.360001,101.099998,95.467018,826291600
2015-02-01,101.330002,108.940002,99.750000,108.400002,102.360306,472456500
2015-03-01,108.610001,109.419998,104.239998,105.599998,99.716316,633635600
2015-04-01,105.599998,111.160004,104.339996,107.629997,101.866943,568699300
2015-05-01,108.050003,111.080002,106.000000,110.050003,104.157379,518233500
2015-06-01,110.639999,111.129997,106.639999,107.070000,101.336937,577030600
2015-07-01,108.129997,114.389999,105.830002,111.949997,106.199303,644885700
2015-08-01,111.970001,113.000000,84.739998,104.309998,98.951767,1010304800
2015-09-01,101.709999,108.730003,98.750000,101.760002,96.532776,881201500
2015-10-01,101.940002,114.080002,100.480003,113.330002,107.769989,740627200
2015-11-01,113.629997,115.470001,109.480003,114.019997,108.426125,543413300
2015-12-01,114.480003,115.750000,109.379997,111.860001,106.372116,757497500
2016-01-01,109.449997,110.180000,97.250000,104.129997,99.323761,1077308200
2016-02-01,103.629997,104.800003,94.839996,102.500000,97.769028,942259600
2016-03-01,103.480003,110.040001,103.160004,109.199997,104.159760,601605100
2016-04-01,108.540001,111.440002,104.879997,105.720001,101.139526,559253800
2016-05-01,105.989998,110.510002,104.400002,110.339996,105.559349,536482700
2016-06-01,110.000000,110.750000,101.750000,107.540001,102.880661,577926300
