Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,8951.900391,9505.700195,8918.099609,9121.299805,9121.299805,87926340000
2009-01-08,9075.500000,9267.500000,8608.599609,8688.400391,8688.400391,110312520000
2009-01-15,8730.799805,9082.099609,8392.099609,8757.900391,8757.900391,115659490000
2009-01-22,8619.200195,8966.700195,8387.599609,8906.200195,8906.200195,113426330000
2009-01-29,8815.500000,8906.200195,8533.599609,8693.099609,8693.099609,117251930000
2009-02-05,8708.099609,9151.599609,8607.500000,8737.900391,8737.900391,119763710000
2009-02-12,8698.299805,8797.000000,8139.000000,8176.000000,8176.000000,92487140000
2009-02-19,8234.099609,8296.299805,7566.299805,7932.299805,7932.299805,138829060000
2009-02-26,8052.200195,8195.900391,7501.100098,7814.799805,7814.799805,138655170000
2009-03-05,7734.299805,8056.799805,7480.000000,8011.000000,8011.000000,131035890000
2009-03-12,8027.299805,8669.799805,7975.000000,8629.099609,8629.099609,123565670000
2009-03-19,8797.400391,8981.799805,8506.400391,8797.400391,8797.400391,150249810000
2009-03-26,8939.799805,9018.500000,8453.099609,8941.799805,8941.799805,120770030000
2009-04-02,9093.500000,9140.099609,8782.700195,8969.299805,8969.299805,117946500000
2009-04-09,9110.000000,9330.599609,8969.299805,9246.099609,9246.099609,89343840000
2009-04-16,9293.200195,9483.599609,9014.099609,9279.200195,9279.200195,118042080000
2009-04-23,9341.500000,9566.700195,9268.900391,9416.299805,9416.299805,111844580000
2009-04-30,9454.200195,10158.200195,9321.400391,10143.400391,10143.400391,122396890000
2009-05-07,10332.099609,10340.799805,9695.599609,9709.500000,9709.500000,134534810000
2009-05-14,9700.200195,10365.400391,9683.099609,10232.400391,10232.400391,87217930000
2009-05-21,10090.599609,10335.200195,9935.200195,10142.200195,10142.200195,95010900000
2009-05-28,10270.599609,10637.700195,10142.200195,10290.099609,10290.099609,133240880000
2009-06-04,10410.200195,10674.099609,10290.099609,10598.000000,10598.000000,109115980000
2009-06-11,10568.299805,10726.000000,10056.299805,10066.099609,10066.099609,104279220000
2009-06-18,10066.200195,10288.000000,9727.299805,10100.900391,10100.900391,119990350000
2009-06-25,10106.299805,10528.500000,10078.299805,10374.900391,10374.900391,70490590000
2009-07-02,10290.500000,10374.900391,9535.500000,9653.500000,9653.500000,82779160000
2009-07-09,9718.500000,10244.299805,9588.400391,10215.500000,10215.500000,86813620000
2009-07-16,10178.799805,10597.700195,10163.500000,10432.400391,10432.400391,83553940000
2009-07-23,10425.900391,10806.500000,10384.599609,10455.299805,10455.299805,89079880000
2009-07-30,10601.700195,11065.400391,10455.299805,11046.900391,11046.900391,79583120000
2009-08-06,11042.000000,11065.200195,10587.700195,10659.900391,10659.900391,90217770000
2009-08-13,10789.500000,10849.500000,10480.200195,10686.799805,10686.799805,82152760000
2009-08-20,10707.700195,10963.000000,10686.799805,10912.200195,10912.200195,85352220000
2009-08-27,10986.400391,11011.000000,10634.799805,10701.299805,10701.299805,97419500000
2009-09-03,10768.799805,11176.400391,10701.299805,11000.200195,11000.200195,85422410000
2009-09-10,11011.700195,11592.400391,11000.200195,11555.599609,11555.599609,105675330000
2009-09-17,11536.400391,11648.599609,11329.500000,11517.500000,11517.500000,117629760000
2009-09-24,11547.700195,11553.000000,11174.599609,11395.000000,11395.000000,99571530000
2009-10-01,11403.299805,11403.299805,10855.200195,11349.900391,11349.900391,99169440000
2009-10-08,11422.599609,11539.200195,11299.599609,11532.799805,11532.799805,81268510000
2009-10-15,11459.000000,11595.000000,11409.000000,11442.000000,11442.000000,82209940000
2009-10-22,11427.400391,11569.400391,10805.299805,10805.299805,10805.299805,97545680000
2009-10-29,10916.599609,11187.900391,10745.299805,11071.200195,11071.200195,106493240000
2009-11-05,11070.200195,11559.700195,11041.700195,11439.799805,11439.799805,88926010000
2009-11-12,11383.299805,11702.200195,11322.099609,11652.700195,11652.700195,87865050000
2009-11-19,11588.400391,11737.799805,11484.400391,11636.900391,11636.900391,87358380000
2009-11-26,11569.299805,11802.400391,11281.099609,11779.700195,11779.700195,80265250000
2009-12-03,11775.000000,11816.299805,11248.900391,11379.200195,11379.200195,90979770000
2009-12-10,11399.700195,11691.700195,11370.000000,11637.000000,11637.000000,82688800000
2009-12-17,11570.200195,11688.099609,11448.000000,11658.700195,11658.700195,89815820000
2009-12-24,11666.200195,11754.599609,11658.700195,11717.500000,11717.500000,19335630000
2009-12-31,11745.200195,11971.599609,11717.500000,11944.500000,11944.500000,55948620000
2010-01-07,11925.000000,12070.700195,11738.599609,11853.599609,11853.599609,88069000000
2010-01-14,11873.599609,11888.299805,11581.599609,11679.299805,11679.299805,64837850000
2010-01-21,11557.200195,11679.299805,11259.000000,11344.099609,11344.099609,88800090000
2010-01-28,11279.599609,11454.599609,11084.299805,11390.500000,11390.500000,89545290000
2010-02-04,11163.599609,11390.500000,10990.400391,11286.299805,11286.299805,89841400000
2010-02-11,11300.099609,11697.000000,11232.900391,11635.500000,11635.500000,70123600000
2010-02-18,11629.700195,11763.299805,11481.599609,11521.799805,11521.799805,67674260000
2010-02-25,11457.400391,11876.500000,11421.000000,11852.900391,11852.900391,80000350000
2010-03-04,11866.799805,12039.500000,11792.400391,11961.099609,11961.099609,86632890000
2010-03-11,11935.799805,12122.500000,11908.000000,12100.700195,12100.700195,76238770000
2010-03-18,12091.099609,12129.299805,11844.000000,11963.000000,11963.000000,110827230000
2010-03-25,12010.099609,12080.500000,11909.099609,12037.700195,12037.700195,91092040000
2010-04-01,12069.900391,12203.400391,12037.700195,12110.900391,12110.900391,71163630000
2010-04-08,12060.700195,12214.400391,11975.900391,12204.400391,12204.400391,82899670000
2010-04-15,12178.599609,12249.500000,11954.000000,12134.599609,12134.599609,92057980000
2010-04-22,12053.299805,12321.799805,11985.299805,12076.900391,12076.900391,99388890000
2010-04-29,12110.700195,12308.099609,11754.299805,11875.099609,11875.099609,119068600000
2010-05-06,11845.799805,12205.000000,11422.700195,12196.000000,12196.000000,134522690000
2010-05-13,12170.900391,12210.400391,11514.099609,11665.799805,11665.799805,113512460000
2010-05-20,11495.000000,11723.900391,11180.000000,11543.900391,11543.900391,104996860000
2010-05-27,11608.599609,11799.599609,11543.900391,11780.700195,11780.700195,93595630000
2010-06-03,11824.200195,11842.299805,11402.500000,11450.599609,11450.599609,108113560000
2010-06-10,11514.799805,11938.599609,11450.599609,11921.099609,11921.099609,84725530000
2010-06-17,11968.400391,12077.000000,11730.000000,11807.500000,11807.500000,104747950000
2010-06-24,11774.900391,11805.799805,11244.000000,11294.400391,11294.400391,86023960000
2010-07-01,11245.299805,11397.299805,11065.500000,11397.299805,11397.299805,68412710000
2010-07-08,11482.599609,11695.599609,11330.599609,11620.200195,11620.200195,89409910000
2010-07-15,11643.099609,11741.799805,11446.000000,11513.299805,11513.299805,88993610000
2010-07-22,11573.200195,11822.700195,11513.400391,11696.599609,11696.599609,83005970000
2010-07-29,11746.799805,11872.900391,11603.799805,11845.099609,11845.099609,77838510000
2010-08-05,11819.200195,11878.400391,11565.000000,11582.200195,11582.200195,91496030000
2010-08-12,11513.200195,11806.500000,11480.500000,11781.099609,11781.099609,94074590000
2010-08-19,11775.299805,11801.200195,11469.299805,11648.099609,11648.099609,90634730000
2010-08-26,11667.299805,12016.099609,11618.700195,12003.799805,12003.799805,97440150000
2010-09-02,12040.299805,12197.900391,12003.700195,12042.299805,12042.299805,75280300000
2010-09-09,12106.400391,12251.500000,11997.700195,12144.799805,12144.799805,98142170000
2010-09-16,12146.000000,12281.400391,12106.500000,12147.299805,12147.299805,126903690000
2010-09-23,12098.700195,12382.799805,12055.599609,12382.799805,12382.799805,98672470000
2010-09-30,12404.200195,12511.799805,12257.900391,12501.700195,12501.700195,109075220000
2010-10-07,12509.299805,12710.200195,12375.000000,12673.299805,12673.299805,87172910000
2010-10-14,12670.900391,12708.400391,12518.500000,12649.900391,12649.900391,93457490000
2010-10-21,12658.599609,12694.500000,12508.700195,12567.299805,12567.299805,94703190000
2010-10-28,12611.099609,12759.099609,12504.799805,12671.099609,12671.099609,92539620000
2010-11-04,12831.099609,13114.099609,12676.000000,12942.599609,12942.599609,134684930000
2010-11-11,12925.099609,12941.900391,12501.799805,12657.799805,12657.799805,105211720000
2010-11-18,12769.599609,12967.500000,12684.599609,12902.000000,12902.000000,95453100000
2010-11-25,12912.099609,13154.400391,12783.400391,13148.400391,13148.400391,103405520000
2010-12-02,13139.700195,13368.799805,13132.000000,13152.000000,13152.000000,125057750000
2010-12-09,13221.799805,13360.099609,13144.299805,13229.099609,13229.099609,105264910000
2010-12-16,13205.299805,13397.299805,13094.099609,13380.700195,13380.700195,112459970000
2010-12-23,13353.900391,13449.799805,13316.599609,13449.200195,13449.200195,22875660000
2010-12-30,13449.799805,13530.400391,13301.200195,13396.000000,13396.000000,60710470000
2011-01-06,13407.599609,13497.700195,13139.500000,13460.200195,13460.200195,113219920000
2011-01-13,13492.299805,13572.299805,13376.099609,13439.000000,13439.000000,103329870000
2011-01-20,13362.400391,13477.900391,13192.700195,13465.799805,13465.799805,135828470000
2011-01-27,13473.000000,13731.299805,13397.500000,13680.299805,13680.299805,112853270000
2011-02-03,13733.099609,13909.799805,13683.500000,13784.299805,13784.299805,117867590000
2011-02-10,13741.599609,14092.299805,13692.799805,14059.200195,14059.200195,102183220000
2011-02-17,14068.700195,14160.700195,13946.200195,13956.200195,13956.200195,96728220000
2011-02-24,13994.200195,14213.200195,13810.500000,14144.000000,14144.000000,123680680000
2011-03-03,14184.000000,14329.500000,13840.400391,13884.700195,13884.700195,112131950000
2011-03-10,13746.700195,13884.400391,13237.900391,13524.799805,13524.799805,131275400000
2011-03-17,13682.799805,14100.099609,13524.799805,14087.200195,14087.200195,117209980000
2011-03-24,14084.400391,14130.400391,13843.400391,14083.599609,14083.599609,98497280000
2011-03-31,14154.400391,14315.400391,14083.700195,14202.700195,14202.700195,118732100000
2011-04-07,14181.900391,14229.799805,13720.099609,13833.599609,13833.599609,103849980000
2011-04-14,13807.500000,13921.299805,13584.599609,13897.500000,13897.500000,90478540000
2011-04-21,13946.900391,13997.900391,13770.799805,13892.599609,13892.599609,77377170000
2011-04-28,13891.599609,14089.099609,13499.799805,13611.299805,13611.299805,62828000000
2011-05-05,13521.700195,13703.000000,13386.900391,13419.700195,13419.700195,100926520000
2011-05-12,13340.599609,13646.299805,13264.799805,13607.299805,13607.299805,106679400000
2011-05-19,13624.200195,13768.200195,13537.599609,13751.500000,13751.500000,78199500000
2011-05-26,13692.900391,13901.599609,13527.900391,13527.900391,13527.900391,98140520000
2011-06-02,13555.900391,13622.700195,13161.400391,13183.799805,13183.799805,94902150000
2011-06-09,13202.500000,13266.700195,12906.400391,12972.000000,12972.000000,97122890000
2011-06-16,12964.000000,13160.900391,12763.500000,13060.599609,13060.599609,125799570000
2011-06-23,12928.200195,13233.799805,12838.799805,13188.900391,13188.900391,89633830000
