Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,8991.209961,9325.349609,8987.360352,9239.240234,9239.240234,445300000
2009-01-08,9143.209961,9148.830078,8359.160156,8438.450195,8438.450195,555200000
2009-01-15,8309.379883,8351.679688,7829.299805,7901.640137,7901.640137,676500000
2009-01-22,7988.299805,8171.629883,7671.040039,8106.290039,8106.290039,669900000
2009-01-29,8201.160156,8305.379883,7795.270020,8038.939941,8038.939941,806300000
2009-02-05,7985.529785,8257.709961,7901.040039,7945.939941,7945.939941,595900000
2009-02-12,7842.529785,7887.740234,7479.180176,7534.439941,7534.439941,676400000
2009-02-19,7604.220215,7642.689941,7155.160156,7461.220215,7461.220215,755400000
2009-02-26,7470.600098,7599.810059,7088.470215,7290.959961,7290.959961,715800000
2009-03-05,7336.020020,7532.870117,7021.279785,7376.120117,7376.120117,766500000
2009-03-12,7320.450195,8054.350098,7198.250000,7972.169922,7972.169922,868900000
2009-03-19,8017.930176,8553.009766,7902.490234,8479.990234,8479.990234,673400000
2009-03-26,8430.219727,8843.179688,8084.620117,8351.910156,8351.910156,793100000
2009-04-02,8453.730469,8992.059570,8449.870117,8595.009766,8595.009766,922400000
2009-04-09,8665.160156,9068.799805,8664.259766,8742.959961,8742.959961,928400000
2009-04-16,8848.429688,9030.000000,8612.759766,8727.299805,8727.299805,895500000
2009-04-23,8776.940430,8860.549805,8493.769531,8493.769531,8493.769531,720300000
2009-04-30,8615.450195,9017.320313,8615.450195,8977.370117,8977.370117,329700000
2009-05-07,9102.349609,9503.910156,9100.110352,9340.490234,9340.490234,1054100000
2009-05-14,9212.299805,9399.400391,8997.740234,9344.639648,9344.639648,799100000
2009-05-21,9280.349609,9491.129883,9126.690430,9438.769531,9438.769531,667200000
2009-05-28,9353.330078,9793.469727,9353.330078,9741.669922,9741.669922,834400000
2009-06-04,9690.929688,9991.490234,9654.450195,9991.490234,9991.490234,839600000
2009-06-11,9992.980469,10170.820313,9705.730469,9840.849609,9840.849609,1020600000
2009-06-18,9778.349609,9887.129883,9511.450195,9590.320313,9590.320313,832200000
