Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,52.200001,54.439999,51.810001,52.369999,41.599190,10630000
2009-01-08,52.160000,52.730000,48.279999,48.660000,38.652241,13202500
2009-01-15,48.480000,49.669998,46.439999,48.490002,38.517193,9271600
2009-01-22,47.529999,50.740002,46.470001,50.419998,40.050255,8510300
2009-01-29,49.750000,49.820000,46.919998,48.040001,38.159748,7454600
2009-02-05,47.779999,50.689999,47.430000,48.250000,38.326557,7754800
2009-02-12,47.490002,48.720001,45.290001,45.650002,36.261276,10052100
2009-02-19,46.090000,46.320000,43.020000,44.330002,35.212772,9903800
2009-02-26,44.860001,45.139999,40.099998,41.340000,32.837719,14438000
2009-03-05,40.360001,42.490002,38.650002,41.840000,33.234875,9737400
2009-03-12,41.810001,46.639999,41.419998,46.080002,36.602859,9147300
2009-03-19,46.740002,47.840000,44.490002,46.950001,37.293919,7381700
2009-03-26,47.470001,48.169998,45.049999,46.820000,37.439514,11048100
2009-04-02,48.009998,48.990002,47.150002,47.810001,38.231174,8922600
2009-04-09,49.040001,50.180000,48.480000,49.410000,39.510612,4633000
2009-04-16,49.830002,50.930000,48.000000,49.230000,39.366673,7743000
2009-04-23,49.349998,51.490002,48.639999,50.889999,40.694099,5782900
2009-04-30,51.570000,53.650002,50.560001,53.529999,42.805176,5910300
2009-05-07,54.169998,54.209999,51.299999,51.330002,41.045948,5080600
2009-05-14,51.439999,53.990002,51.110001,52.669998,42.117466,4823800
2009-05-21,51.970001,53.410000,51.279999,52.200001,41.741631,5356500
2009-05-28,52.610001,55.540001,51.799999,54.610001,43.668770,6876300
2009-06-04,54.830002,55.919998,54.250000,55.090000,44.052616,5078000
2009-06-11,55.209999,56.009998,52.860001,53.330002,42.645229,4046800
2009-06-18,53.410000,54.259998,51.900002,52.709999,42.149452,3714100
2009-06-25,52.439999,54.639999,52.369999,54.110001,43.268974,5376800
2009-07-02,53.180000,53.180000,50.540001,51.139999,40.894005,2568300
2009-07-09,51.500000,54.410000,50.759998,54.270000,43.625057,5325500
